```
date,test,result,units,age_years,sex,id
2008-08-28,Lymphocytes,2419,/μL,17.3,Female,Daisy
2008-08-28,Monocytes,177,/μL,17.3,Female,Daisy
2008-08-28,Eosinophils,413,/μL,17.3,Female,Daisy
2008-08-28,Basophils,59,/μL,17.3,Female,Daisy
2008-08-28,Neutrophils,%,48,%,17.3,Female,Daisy
2008-08-28,Lymphocytes,%,41,%,17.3,Female,Daisy
2008-08-28,Monocytes,%,3,%,17.3,Female,Daisy
2008-08-28,Eosinophils,%,7,%,17.3,Female,Daisy
2008-08-28,Basophils,%,1,%,17.3,Female,Daisy
2007-01-12,Glucose,89,mg/dL,15.7,Female,Daisy
2007-01-12,Creatinine,0.7,mg/dL,15.7,Female,Daisy
2007-01-12,Total Protein,7.3,g/dL,15.7,Female,Daisy
2007-01-12,Albumin,4.4,g/dL,15.7,Female,Daisy
2007-01-12,Total Bilirubin,0.1,mg/dL,15.7,Female,Daisy
2007-01-12,Alkaline Phosphatase,192,U/L,15.7,Female,Daisy
2007-01-12,ALT,32,U/L,15.7,Female,Daisy
2007-01-12,AST,22,U/L,15.7,Female,Daisy
2007-01-12,Cholesterol,174,mg/dL,15.7,Female,Daisy
2007-01-12,Calcium,8.9,mg/dL,15.7,Female,Daisy
2007-01-12,Phosphorus,3.9,mg/dL,15.7,Female,Daisy
2007-01-12,Sodium,142,mEq/L,15.7,Female,Daisy
2007-01-12,Potassium,3.6,mEq/L,15.7,Female,Daisy
2007-01-12,Chloride,108,mEq/L,15.7,Female,Daisy
2007-01-12,Albumin/Globulin Ratio,1.5,,15.7,Female,Daisy
2007-01-12,BUN/Creatinine Ratio,33,,15.7,Female,Daisy
2007-01-12,Globulin,2.9,g/dL,15.7,Female,Daisy
2007-01-12,Lipase,4,U/L,15.7,Female,Daisy
2007-01-12,Amylase,367,U/L,15.7,Female,Daisy
2007-01-12,Triglycerides,101,mg/dL,15.7,Female,Daisy
2007-01-12,CPK,304,U/L,15.7,Female,Daisy
2007-01-12,GGTP,102,U/L,15.7,Female,Daisy
2007-01-12,Magnesium,1.6,mEq/L,15.7,Female,Daisy
2007-01-12,Hematocrit,40.0,%,15.7,Female,Daisy
2007-01-12,WBC,4.5,10^3/μL,15.7,Female,Daisy
2007-01-12,RBC,5.60,10^6/μL,15.7,Female,Daisy
2007-01-12,MCV,71,fL,15.7,Female,Daisy
2007-01-12,MCH,25.2,pg,15.7,Female,Daisy
2007-01-12,MCHC,35.3,g/dL,15.7,Female,Daisy
2007-01-12,Platelets,337,10^3/μL,15.7,Female,Daisy
2007-01-12,Neutrophils,1485,/μL,15.7,Female,Daisy
2007-01-12,Lymphocytes,2835,/μL,15.7,Female,Daisy
2007-01-12,Monocytes,135,/μL,15.7,Female,Daisy
2007-01-12,Eosinophils,45,/μL,15.7,Female,Daisy
2007-01-12,Neutrophils,%,33,%,15.7,Female,Daisy
2007-01-12,Lymphocytes,%,63,%,15.7,Female,Daisy
2007-01-12,Monocytes,%,3,%,15.7,Female,Daisy
2007-01-12,Eosinophils,%,1,%,15.7,Female,Daisy
```
